CDC14B	-662.188240
ATP9A	-665.200632
TPBG	-668.228913
MICALL2	-671.280784
IRF2	-674.355036
KRT8	-677.438521
ARHGEF28	-680.534232
WDR33	-683.639476
CELF2	-686.751901
RAC1	-689.878167
FERMT2	-693.015505
FKBP5	-696.160668
KLF5	-699.319212
HEBP1	-702.488054
DAZAP1	-705.667103
KIAA1671	-708.853841
NGFRAP1	-712.050581
TMEM184B	-715.253102
MYO1B	-718.468285
GULP1	-721.696647
HLA-DPA1	-724.934129
FASTKD1	-728.184903
LAMC1	-731.454255
CETN2	-734.731890
CDC42BPA	-738.016261
FHL2	-741.310510
C22orf34	-744.615630
SLC43A1	-747.942385
PCYOX1	-751.278557
MTO1	-754.623329
WDFY3	-757.978389
BCL9L	-761.345172
C19orf38	-764.722225
SAFB	-768.112616
LARP6	-771.510114
IQCB1	-774.916268
ARID5A	-778.332896
ARPC1A	-781.765411
ALDH7A1	-785.205830
PTPRK	-788.658589
EVA1A	-792.122006
BCAR1	-795.593214
TNFAIP8	-799.074638
PLOD2	-802.564941
LILRB1	-806.065837
AFAP1	-809.579398
RNF138	-813.107120
MYO1C	-816.649744
LAMB1	-820.200356
PCF11	-823.766135
SCARB2	-827.338770
ID1	-830.927939
PON2	-834.542803
ITPRIPL2	-838.172197
FAM114A1	-841.818131
CCND1	-845.474936
ARHGAP19	-849.143292
RUNX3	-852.821650
SERPINH1	-856.507390
KIFC3	-860.209275
OCRL	-863.932921
SH3BP4	-867.667851
DLG5	-871.413523
SS18L2	-875.173180
CD300C	-878.942314
PERP	-882.721921
YES1	-886.520017
CTGF	-890.327087
MOB3A	-894.145650
CMTM4	-897.984309
CRIM1	-901.832308
SLC38A5	-905.698127
ITGA3	-909.573176
PTGR1	-913.464224
GMIP	-917.370777
SNX24	-921.293518
NTN4	-925.227981
HLA-DRA	-929.169607
WBP5	-933.122325
CNTRL	-937.083096
PSTPIP1	-941.056247
GRAMD3	-945.051330
STRBP	-949.069623
TRABD	-953.102809
PSD4	-957.146917
PROK2	-961.200282
WWC2	-965.263849
APBB1IP	-969.336405
CD63	-973.421276
CARD8	-977.520637
TGFBI	-981.629783
EDEM1	-985.747846
DAG1	-989.890087
TAF4B	-994.043346
SEC31B	-998.218837
CD74	-1002.409580
CCDC88C	-1006.650217
PARVG	-1010.914287
BCAR3	-1015.192545
CAV2	-1019.494379
TIMP2	-1023.807139
SLC35D2	-1028.128164
FAM177A1	-1032.466835
NQO1	-1036.816919
ADRBK1	-1041.177380
DYNC1LI2	-1045.549875
MYCBP2	-1049.935258
ITGB1	-1054.340081
PTRF	-1058.771179
MEI1	-1063.217493
CTSL1	-1067.671849
MSL2	-1072.141703
EAF2	-1076.625314
CTBP2	-1081.121141
S100A16	-1085.632286
TM4SF1	-1090.166526
GAB3	-1094.714787
THBS1	-1099.269991
RNASEH2B	-1103.845440
SNX9	-1108.442812
LEAP2	-1113.054487
RAB13	-1117.677037
ARHGEF6	-1122.309105
S100A13	-1126.955590
SETDB2	-1131.610741
TAX1BP3	-1136.279253
CALD1	-1140.961261
PTPN6	-1145.720021
TCEAL4	-1150.498422
CYTH4	-1155.289545
MAP4K3	-1160.098815
RAB11FIP5	-1164.922877
GPR84	-1169.760921
ASPH	-1174.606217
CTTNBP2NL	-1179.459974
TMTC3	-1184.332975
CD151	-1189.216254
KIAA0922	-1194.122132
CD93	-1199.051463
DIRC2	-1203.998158
RASSF2	-1208.966897
HLA-DPB1	-1213.949202
MID1	-1218.958887
BOD1	-1223.980692
CD276	-1229.044511
RRAS	-1234.119391
DDR1	-1239.202731
EPHA2	-1244.308678
ITGAV	-1249.443185
PLCG2	-1254.604057
EXT1	-1259.777605
RAB33A	-1264.963293
SNX20	-1270.165969
TNFAIP1	-1275.380453
DCK	-1280.620498
IL3RA	-1285.893472
SMARCA1	-1291.178586
ADAM9	-1296.492160
IL13RA1	-1301.831060
ASAP2	-1307.187727
ST8SIA4	-1312.566611
VAMP3	-1317.957899
ARHGAP29	-1323.380502
KDM2B	-1328.815023
WAS	-1334.262562
PXDC1	-1339.748029
IPCEF1	-1345.265192
CFL2	-1350.815042
CYFIP2	-1356.403351
CAP2	-1362.003674
ZCCHC7	-1367.643676
BAG3	-1373.296830
